loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,term,grade,sub_grade,emp_length,home_ownership,verification_status,purpose,default,loan_amnt_scaled,int_rate_scaled,installment_scaled,annual_inc_scaled,dti_scaled,delinq_2yrs_scaled,inq_last_6mths_scaled,open_acc_scaled,pub_rec_scaled,revol_bal_scaled,revol_util_scaled,total_acc_scaled
10000.0,13.18,337.81,24609.78,23.38,0.0,0.0,5.0,0.0,20875.8,38.4,23.0,36.0,D,D4,7.0,RENT,Source Verified,major_purchase,1,-0.9033562460406516,0.1410860770806997,-0.7237756868825774,-0.8373737758017148,0.9284831661269057,-0.4192923652956382,-0.8642547539304829,-1.1979103303628946,-0.35695864876539996,0.7837073313147984,-0.07162280054429934,-0.16027160408261235
10000.0,10.7,325.97,81829.9,22.13,0.0,1.0,11.0,0.0,583.73,40.9,15.0,36.0,B,B3,10.0,RENT,Verified,debt_consolidation,0,-0.9033562460406516,-0.2924638962913948,-0.7610190504077989,0.2856474055783598,0.7924702622122493,-0.4192923652956382,0.06896493501291724,-0.4858997522144422,-0.35695864876539996,-0.5807775595970791,0.05352187471481984,-0.9439000313292202
5000.0,21.27,189.07,109106.75,46.28,0.0,1.0,6.0,0.0,3741.79,33.3,10.0,36.0,E,E3,3.0,MORTGAGE,Not Verified,moving,1,-1.4130071605910897,1.5553680466695077,-1.1916454411681743,0.8209919716388137,3.4202395658434135,-0.4192923652956382,0.06896493501291724,-1.079241900671486,-0.35695864876539996,-0.36842243000245595,-0.32691793807290254,-1.4336677983583501
10000.0,15.29,239.42,50417.11,8.93,0.0,0.0,13.0,0.0,2903.16,40.0,16.0,60.0,D,D3,1.0,RENT,Source Verified,renewable_energy,0,-0.9033562460406516,0.5099531915222799,-1.0332667795554287,-0.3308704999458542,-0.6438260031265237,-0.4192923652956382,-0.8642547539304829,-0.24856289283162472,-0.35695864876539996,-0.4248138165916718,0.008469791621537008,-0.8459464779233942
25000.0,6.28,486.58,62731.62,18.6,0.0,1.0,12.0,0.0,1566.71,6.2,17.0,60.0,A,A1,3.0,RENT,Not Verified,debt_consolidation,0,0.6255964976106627,-1.0651618327045629,-0.2558115659664268,-0.08918181477153536,0.4083698215572594,-0.4192923652956382,0.06896493501291724,-0.3672313225230335,-0.35695864876539996,-0.5146797510409014,-1.6834862178817542,-0.7479929245175683
15000.0,26.17,605.72,27521.16,5.1,1.0,0.0,25.0,0.0,5627.41,33.8,27.0,36.0,G,G1,1.0,NONE,Verified,credit_card,0,-0.3937053314902134,2.4119788811546945,0.11894977950611617,-0.7802340597884256,-1.0605695407210314,1.159368648618662,-0.8642547539304829,1.1754582634652802,-0.35695864876539996,-0.24162905702467427,-0.3018890030210787,0.23154260954069156
10000.0,16.36,353.35,37579.87,12.99,0.0,0.0,1.0,0.0,6596.96,41.7,8.0,36.0,D,D2,3.0,OWN,Not Verified,vacation,0,-0.9033562460406516,0.6970090268078207,-0.6748937722557239,-0.5828184586439407,-0.20205609121171922,-0.4192923652956382,-0.8642547539304829,-1.6725840491285295,-0.35695864876539996,-0.17643431218180655,0.09356817079773819,-1.629574905170002
35000.0,14.28,819.48,38671.45,3.28,3.0,1.0,2.0,0.0,3431.65,24.9,19.0,60.0,D,D4,9.0,RENT,Source Verified,debt_consolidation,0,1.644898326711539,0.33338646849574155,0.7913434777452529,-0.5613947450765651,-1.2586043288207713,4.316690676447263,0.06896493501291724,-1.5539156194371209,-0.35695864876539996,-0.38927694824861864,-0.7474040469435429,-0.5520858177059162
25000.0,6.43,765.43,53038.18,21.82,1.0,1.0,14.0,0.0,28561.28,10.4,21.0,36.0,A,A2,8.0,RENT,Verified,credit_card,0,0.6255964976106627,-1.0389390520570574,0.6213262650308752,-0.2794285049294182,0.7587390620414145,1.159368648618662,0.06896493501291724,-0.12989446314021597,-0.35695864876539996,1.300496468125652,-1.4732431634464342,-0.3561787108942643
5000.0,10.04,161.43,64810.21,12.01,1.0,2.0,7.0,0.0,521.6,27.0,24.0,36.0,C,C3,6.0,RENT,Not Verified,debt_consolidation,1,-1.4130071605910897,-0.40784413114041995,-1.2785885634517153,-0.048386713373551486,-0.30869020788081,1.159368648618662,1.0021846239563175,-0.9605734709800772,-0.35695864876539996,-0.5849553219580582,-0.6422825197258827,-0.06231805067678637
10000.0,6.26,194.54,43011.18,5.75,0.0,1.0,19.0,0.0,7553.07,83.7,34.0,60.0,B,B3,9.0,MORTGAGE,Verified,vacation,0,-0.9033562460406516,-1.0686582034575638,-1.1744392588638701,-0.4762217550256782,-0.9898428306854099,-0.4192923652956382,0.06896493501291724,0.46344768531682773,-0.35695864876539996,-0.11214330347496912,2.1959987151509406,0.9172174833814735
30000.0,22.82,1158.48,41832.65,15.27,2.0,4.0,26.0,0.0,1110.82,60.0,35.0,36.0,F,F1,9.0,RENT,Not Verified,vacation,0,1.135247412161101,1.826336780027067,1.857686403002866,-0.49935197832636086,0.046031445528614226,2.7380296625329628,2.8686240018431177,1.2941266931566888,-0.35695864876539996,-0.5453348304348624,1.0096271936944905,1.0151710367872995
25000.0,12.18,832.51,15000.0,12.1,0.0,0.0,6.0,0.0,5320.04,28.0,8.0,36.0,C,C3,3.0,RENT,Source Verified,debt_consolidation,0,0.6255964976106627,-0.03373246056933837,0.8323300509491074,-1.025978526864848,-0.2988972787989547,-0.4192923652956382,-0.8642547539304829,-1.079241900671486,-0.35695864876539996,-0.2622973141773247,-0.5922246496222351,-1.629574905170002
35000.0,19.91,1299.12,166726.84,7.35,0.0,3.0,11.0,0.0,7639.22,42.1,22.0,36.0,E,E3,10.0,OTHER,Not Verified,home_improvement,0,1.644898326711539,1.317614835465456,2.3000771670389444,1.9518630977921008,-0.8157463136746496,-0.4192923652956382,1.9354043128997176,-0.4858997522144422,-0.35695864876539996,-0.1063503817399239,0.1135913188391972,-0.25822515748843833
5000.0,8.03,156.75,15000.0,3.0,0.0,0.0,4.0,0.0,20181.32,42.6,7.0,36.0,B,B4,8.0,NONE,Source Verified,debt_consolidation,0,-1.4130071605910897,-0.7592293918169964,-1.2933097578181036,-1.025978526864848,-1.2890712192976543,-0.4192923652956382,-0.8642547539304829,-1.3165787600543033,-0.35695864876539996,0.7370089182381394,0.13862025389102103,-1.727528458575828
25000.0,11.83,553.97,53038.18,32.26,1.0,0.0,7.0,0.0,3433.89,68.7,13.0,60.0,B,B4,6.0,RENT,Source Verified,other,0,0.6255964976106627,-0.09491894874685163,-0.04383265819913891,-0.2794285049294182,1.8947188355366256,1.159368648618662,-0.8642547539304829,-0.9605734709800772,-0.35695864876539996,-0.3891263255592803,1.4451306635962253,-1.139807138140872
5000.0,12.74,113.1,55625.49,25.47,0.0,1.0,27.0,0.0,5655.28,38.4,46.0,60.0,C,C3,5.0,MORTGAGE,Not Verified,small_business,0,-1.4130071605910897,0.06416592051468305,-1.4306132052738405,-0.22864909494571878,1.1558967414722114,-0.4192923652956382,0.06896493501291724,1.4127951228480975,-0.35695864876539996,-0.23975501490330797,-0.07162280054429934,2.092660124251385
