loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,purpose
10000.0,36 months,13.18,337.81,D,D4,7 years,RENT,24609.78,Source Verified,Charged Off,23.38,0.0,0.0,5.0,0.0,20875.8,,23.0,major_purchase
10000.0,36 months,10.7,325.97,B,B3,10+ years,RENT,81829.9,Verified,Fully Paid,22.13,0.0,1.0,11.0,0.0,583.73,40.9,15.0,debt_consolidation
5000.0,36 months,21.27,189.07,E,E3,3 years,MORTGAGE,109106.75,Not Verified,Charged Off,46.28,0.0,1.0,6.0,0.0,3741.79,33.3,10.0,moving
10000.0,60 months,15.29,239.42,D,D3,1 year,RENT,50417.11,Source Verified,Fully Paid,8.93,0.0,0.0,13.0,0.0,2903.16,40.0,16.0,renewable_energy
25000.0,60 months,6.28,486.58,A,A1,3 years,RENT,62731.62,Not Verified,Fully Paid,18.6,0.0,1.0,12.0,0.0,1566.71,6.2,17.0,debt_consolidation
15000.0,36 months,26.17,605.72,G,G1,1 year,NONE,27521.16,Verified,Fully Paid,5.1,1.0,0.0,25.0,0.0,5627.41,33.8,27.0,credit_card
10000.0,36 months,16.36,353.35,D,D2,3 years,OWN,37579.87,Not Verified,Fully Paid,12.99,0.0,0.0,1.0,0.0,6596.96,41.7,8.0,vacation
35000.0,60 months,14.28,819.48,D,D4,9 years,RENT,38671.45,Source Verified,Fully Paid,3.28,3.0,1.0,2.0,0.0,3431.65,24.9,19.0,debt_consolidation
25000.0,36 months,6.43,765.43,A,A2,8 years,RENT,,Verified,Fully Paid,21.82,1.0,1.0,14.0,0.0,28561.28,10.4,21.0,credit_card
5000.0,36 months,10.04,161.43,C,C3,6 years,RENT,64810.21,Not Verified,Charged Off,12.01,1.0,2.0,7.0,0.0,521.6,27.0,24.0,debt_consolidation
10000.0,60 months,6.26,194.54,B,B3,9 years,MORTGAGE,43011.18,Verified,Fully Paid,5.75,0.0,1.0,19.0,0.0,7553.07,83.7,34.0,vacation
30000.0,36 months,22.82,1158.48,F,F1,9 years,RENT,41832.65,Not Verified,Fully Paid,15.27,2.0,4.0,26.0,0.0,1110.82,60.0,35.0,vacation
25000.0,36 months,12.18,832.51,C,C3,3 years,RENT,15000.0,Source Verified,Fully Paid,12.1,0.0,0.0,6.0,0.0,5320.04,28.0,8.0,debt_consolidation
35000.0,36 months,19.91,1299.12,E,E3,10+ years,OTHER,166726.84,Not Verified,Fully Paid,7.35,0.0,3.0,11.0,0.0,7639.22,42.1,22.0,home_improvement
5000.0,36 months,8.03,156.75,B,B4,8 years,NONE,15000.0,Source Verified,Fully Paid,3.0,0.0,0.0,4.0,0.0,20181.32,42.6,7.0,debt_consolidation
25000.0,60 months,11.83,553.97,B,B4,6 years,RENT,,Source Verified,Fully Paid,32.26,1.0,0.0,7.0,0.0,3433.89,68.7,13.0,other
5000.0,60 months,12.74,113.1,C,C3,5 years,MORTGAGE,55625.49,Not Verified,Fully Paid,25.47,0.0,1.0,27.0,0.0,5655.28,,46.0,small_business
15000.0,36 months,5.85,455.31,A,A4,< 1 year,RENT,44982.21,Not Verified,Fully Paid,12.91,0.0,1.0,17.0,0.0,396.04,67.4,32.0,debt_consolidation
25000.0,36 months,19.8,926.54,E,E2,7 years,MORTGAGE,53866.56,Verified,Charged Off,8.67,0.0,1.0,2.0,0.0,16774.19,26.9,14.0,major_purchase
25000.0,60 months,14.0,581.71,C,C2,1 year,MORTGAGE,,Verified,Fully Paid,6.15,0.0,0.0,28.0,1.0,9105.29,10.8,42.0,home_improvement
